ALLHC,AYALA LAND LOG,05/21/2020,1.65,1.67,1.64,1.65
ANS,ANSCOR,05/21/2020,6.05,6.05,5.98,6
APO,ANGLO PHIL HLDG,05/21/2020,0.5,0.5,0.5,0.5
ATN,ATN HLDG A,05/21/2020,0.5,0.52,0.5,0.51
ATNB,ATN HLDG B,05/21/2020,0.53,0.53,0.52,0.52
COSCO,COSCO CAPITAL,05/21/2020,5.19,5.19,4.96,5.04
DMC,DMCI HLDG,05/21/2020,4.1,4.12,4.08,4.1
FPI,FORUM PACIFIC,05/21/2020,0.158,0.158,0.156,0.156
GTCAP,GT CAPITAL,05/21/2020,376,380,364,368
HI,HOUSE OF INV,05/21/2020,3.51,3.51,3.51,3.51
JGS,JG SUMMIT,05/21/2020,48.6,49.1,47.55,48.6
JOH,JOLLIVILLE HLDG,05/21/2020,5.21,5.72,5.21,5.72
KPH,KEPPEL HLDG A,05/21/2020,4.68,4.73,4.68,4.73
KPHB,KEPPEL HLDG B,05/21/2020,5.19,5.19,5.19,5.19
LIHC,LODESTAR,05/21/2020,0.52,0.54,0.51,0.54
LPZ,LOPEZ HLDG,05/21/2020,2.45,2.5,2.45,2.46
LTG,LT GROUP,05/21/2020,7.26,7.35,7.22,7.23
MHC,MABUHAY HLDG,05/21/2020,0.54,0.54,0.54,0.54
MPI,METRO PAC INV,05/21/2020,2.78,2.8,2.74,2.8
PRIM,PRIME MEDIA,05/21/2020,0.82,0.82,0.82,0.82
SGI,SOLID GROUP,05/21/2020,0.94,0.95,0.93,0.93
SGP,SYNERGY GRID,05/21/2020,167,167,167,167
SM,SM INVESTMENTS,05/21/2020,820,838.5,816,835
SMC,SAN MIGUEL CORP,05/21/2020,96,96,95.5,95.5
SOC,SOC RESOURCES,05/21/2020,0.67,0.67,0.67,0.67
TFHI,TOP FRONTIER,05/21/2020,131,136,130,136
WIN,WELLEX INDUS,05/21/2020,0.177,0.177,0.177,0.177
ZHI,ZEUS HLDG,05/21/2020,0.14,0.146,0.138,0.146
^PROPERTY,,05/21/2020,2844.3,2844.3,2815.37,2821.3
ALCO,ARTHALAND CORP,05/21/2020,0.52,0.52,0.5,0.52
ALI,AYALA LAND,05/21/2020,32.4,32.5,31.85,32.05
